164 0
118 47 9 9

Coordinates
36 18 17 30 26 14 21 22 13 12 24
37 73 68 72 48 70 69 71 60 57 58
38 76 73 72 63 74 71 75 67 65 66
39 76 73 63 51 74 65 67 64 61 54
40 72 76 63 47 75 67 66 59 62 52
41 43 48 47 72 45 46 44 56 58 59
42 48 51 47 63 49 50 46 53 54 52
43 73 72 63 48 71 66 65 60 58 53
44 48 51 63 73 49 54 53 60 61 65
45 51 47 63 76 50 52 54 64 62 67
46 47 48 63 72 46 53 52 59 58 66
47 48 43 68 72 45 55 57 58 56 69
EndElements

Dirichlet
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
EndDirichlet

Neumann
1 0
2 0
3 0
6 0
9 0
10 0
15 0
16 0
26 0
EndNeumann
